HUGO_symbols,TCGA-AF-2687-01A-02R-1736-07,TCGA-AF-2690-01A-02R-1736-07,TCGA-AF-2691-01A-01R-0821-07,TCGA-AF-2692-01A-01R-0821-07,TCGA-AF-2693-01A-02R-1736-07,TCGA-AF-3400-01A-01R-0821-07,TCGA-AF-3913-01A-02R-1119-07,TCGA-AF-4110-01A-02R-1736-07,TCGA-AF-5654-01A-01R-1660-07,TCGA-AF-6136-01A-11R-1830-07,TCGA-AF-6655-01A-11R-1830-07,TCGA-AF-6672-01A-11R-1830-07,TCGA-AF-A56K-01A-32R-A39D-07,TCGA-AF-A56L-01A-31R-A39D-07,TCGA-AF-A56N-01A-12R-A39D-07,TCGA-AG-3574-01A-01R-0821-07,TCGA-AG-3575-01A-01R-0821-07,TCGA-AG-3578-01A-01R-0821-07,TCGA-AG-3580-01A-01R-0821-07,TCGA-AG-3581-01A-01R-0821-07,TCGA-AG-3582-01A-01R-0821-07,TCGA-AG-3584-01A-01R-0821-07,TCGA-AG-3587-01A-01R-0821-07,TCGA-AG-3591-01A-01R-1736-07,TCGA-AG-3593-01A-01R-0821-07,TCGA-AG-3594-01A-02R-0821-07,TCGA-AG-3598-01A-01R-0826-07,TCGA-AG-3599-01A-02R-0826-07,TCGA-AG-3600-01A-01R-0826-07,TCGA-AG-3602-01A-02R-0826-07,TCGA-AG-3605-01A-01R-0826-07,TCGA-AG-3609-01A-02R-0826-07,TCGA-AG-3611-01A-01R-0826-07,TCGA-AG-3612-01A-01R-0826-07,TCGA-AG-3725-01A-11R-1736-07,TCGA-AG-3726-01A-02R-0905-07,TCGA-AG-3727-01A-01R-0905-07,TCGA-AG-3728-01A-01R-0905-07,TCGA-AG-3732-01A-11R-1660-07,TCGA-AG-3742-01A-11R-1660-07,TCGA-AG-3878-01A-02R-0905-07,TCGA-AG-3881-01A-01R-0905-07,TCGA-AG-3882-01A-01R-0905-07,TCGA-AG-3883-01A-02R-0905-07,TCGA-AG-3885-01A-01R-0905-07,TCGA-AG-3887-01A-01R-1119-07,TCGA-AG-3890-01A-01R-1119-07,TCGA-AG-3892-01A-01R-1119-07,TCGA-AG-3893-01A-01R-1119-07,TCGA-AG-3894-01A-01R-1119-07,TCGA-AG-3896-01A-01R-1119-07,TCGA-AG-3898-01A-01R-1119-07,TCGA-AG-3901-01A-01R-1119-07,TCGA-AG-3902-01A-01R-A32Z-07,TCGA-AG-3909-01A-01R-1119-07,TCGA-AG-3999-01A-01R-1119-07,TCGA-AG-4005-01A-01R-1119-07,TCGA-AG-4008-01A-01R-1119-07,TCGA-AG-4015-01A-01R-1119-07,TCGA-AG-4021-01A-01R-1736-07,TCGA-AG-4022-01A-01R-1736-07,TCGA-AG-A002-01A-01R-A002-07,TCGA-AG-A008-01A-01R-A002-07,TCGA-AG-A00C-01A-01R-A002-07,TCGA-AG-A00H-01A-01R-A00A-07,TCGA-AG-A00Y-01A-02R-A002-07,TCGA-AG-A011-01A-01R-A002-07,TCGA-AG-A014-01A-02R-A002-07,TCGA-AG-A015-01A-01R-A002-07,TCGA-AG-A016-01A-01R-A002-07,TCGA-AG-A01J-01A-01R-A00A-07,TCGA-AG-A01L-01A-01R-A002-07,TCGA-AG-A01N-01A-01R-A00A-07,TCGA-AG-A01W-01A-21R-A083-07,TCGA-AG-A01Y-01A-41R-A083-07,TCGA-AG-A020-01A-21R-A083-07,TCGA-AG-A023-01A-01R-A00A-07,TCGA-AG-A025-01A-01R-A00A-07,TCGA-AG-A026-01A-01R-A00A-07,TCGA-AG-A02G-01A-01R-A00A-07,TCGA-AG-A02X-01A-01R-A00A-07,TCGA-AG-A032-01A-01R-A00A-07,TCGA-AG-A036-01A-12R-A083-07,TCGA-AH-6544-01A-11R-1830-07,TCGA-AH-6547-01A-11R-1830-07,TCGA-AH-6643-01A-11R-1830-07,TCGA-AH-6903-01A-11R-1928-07,TCGA-BM-6198-01A-11R-1736-07,TCGA-CI-6619-01B-11R-1830-07,TCGA-CI-6620-01A-11R-1830-07,TCGA-CI-6621-01A-11R-1830-07,TCGA-CI-6622-01A-11R-1830-07,TCGA-CI-6623-01B-11R-1830-07,TCGA-CI-6624-01C-11R-1830-07,TCGA-CL-4957-01A-01R-1736-07,TCGA-CL-5917-01A-11R-1660-07,TCGA-CL-5918-01A-11R-1660-07,TCGA-DC-4745-01A-01R-A32Z-07,TCGA-DC-4749-01A-01R-1736-07,TCGA-DC-5337-01A-01R-1660-07,TCGA-DC-5869-01A-01R-1660-07,TCGA-DC-6155-01A-11R-1660-07,TCGA-DC-6156-01A-11R-1660-07,TCGA-DC-6157-01A-11R-1660-07,TCGA-DC-6158-01A-11R-1660-07,TCGA-DC-6160-01A-11R-1660-07,TCGA-DC-6681-01A-11R-A32Z-07,TCGA-DC-6682-01A-11R-1830-07,TCGA-DC-6683-01A-11R-1830-07,TCGA-DT-5265-01A-21R-1830-07,TCGA-DY-A0XA-01A-11R-A155-07,TCGA-DY-A1DC-01A-31R-A155-07,TCGA-DY-A1DE-01A-11R-A155-07,TCGA-DY-A1DG-01A-11R-A32Y-07,TCGA-DY-A1H8-01A-21R-A155-07,TCGA-EF-5830-01A-01R-1660-07,TCGA-EF-5831-01A-01R-1660-07,TCGA-EI-6506-01A-11R-1736-07,TCGA-EI-6508-01A-11R-1736-07,TCGA-EI-6509-01A-11R-1736-07,TCGA-EI-6511-01A-11R-1736-07,TCGA-EI-6512-01A-11R-1736-07,TCGA-EI-6513-01A-21R-1736-07,TCGA-EI-6514-01A-11R-1736-07,TCGA-EI-6881-01A-11R-A32Z-07,TCGA-EI-6883-01A-31R-1928-07,TCGA-EI-6884-01A-11R-1928-07,TCGA-EI-6885-01A-11R-1928-07,TCGA-EI-6917-01A-11R-1928-07,TCGA-EI-7004-01A-11R-1928-07,TCGA-F5-6464-01A-11R-1736-07,TCGA-F5-6465-01A-11R-1736-07,TCGA-F5-6702-01A-11R-1830-07,TCGA-F5-6810-01A-11R-1830-07,TCGA-F5-6812-01A-11R-1830-07,TCGA-F5-6813-01A-11R-1830-07,TCGA-F5-6814-01A-31R-1928-07,TCGA-F5-6861-01A-11R-1928-07,TCGA-G5-6235-01A-11R-1736-07,TCGA-G5-6572-01A-11R-1830-07,TCGA-G5-6641-01A-11R-A32Z-07
KIR3DL1,0,0,0,2.008,0,1.6047,0,0.4163,0,0,0,0.5603,2.7051,0,0,0,1.9651,2.6411,0,1.3085,0,0,0,0,0,10.7668,0,0,7.1795,0,1.2407,0,0,0.9901,0.4223,0,0,0,0,0.4883,1.2704,0,0,0,1.6722,0,0,6.8887,3.096,2.1577,0,2.5641,1.1738,0.6477,0,0,0,0,0,0,0,0,0,0,0,1.171,0,0,0,0,1.2937,0,0,0,1.6461,0,0,0,0.9337,0,0,0,0,0,1.1614,0,0,3.4156,0.4041,0.7835,0.7656,0.8478,0,0,0,0,0,0,0,0,0,5.504,2.866,0,0,0,0,0.5488,0,0,0,0,0,0,0,2.0202,1.4226,1.6481,0,0,1.049,0,0,0,0,1.9896,1.3423,0.6256,1.124,0.632,0.4543,0,0,0,0,0,6.0369,0,0,0,0
KLRC3,4.2231,3.2396,3.581,1.004,0,7.876,0,23.7944,2.8999,3.1407,1.8846,21.5324,1.3526,0.7547,0.4044,2.6714,6.2,27.7846,1.0204,6.8825,0,0,1.224,0.5503,6.4389,43.1203,1.6201,13.6085,1.0256,4.1265,8.263,1.139,10.8636,0,0,0,0,2.0534,7.6463,4.6143,2.5409,4.9669,0,0,3.7291,3.8071,3.5568,11.837,4.128,2.1577,0,4.4103,4.2139,19.8067,1.1161,3.6151,3.7736,8.3019,2.922,2.6032,7.3552,0,7.6252,0,3.9169,0,1.23,0,5.9172,0,5.1746,1.2831,3.9744,0.821,5.7613,0.8053,0,0,0.9337,0.9491,2.9283,1.595,15.3983,0.4778,12.0423,1.3268,0.4771,1.7131,5.783,0.7835,3.1571,1.2717,0.7062,0.9217,0,0,6.0382,2.281,1.5606,1.335,1.4472,4.128,0.4777,0.9995,5.366,0.5267,0,6.3557,0.7261,1.0081,4.0445,0,1.5688,0.9809,3.1706,67.1717,1.8969,2.2126,2.3425,11.1784,4.2127,0.4342,0.7785,1.7805,4.0048,1.9976,2.6846,0.3128,5.6538,1.7316,1.7309,2.5161,0.4131,1.114,1.8996,0.8737,7.3686,1.9874,3.3914,0,0
KLRC4,3.9208,1.8512,2.6858,0,0.4328,0,0,4.3293,0,0,0,2.7231,0,0,0,0,3.8418,0,2.0408,0,0,2.9162,0,0.5143,0,12.6305,4.0503,0,1.0256,0,0,5.6948,0,3.5446,1.8919,0,0,0,4.1134,0,0,1.6556,0,0,2.7592,0,0,0,0,0,0,0,0,7.7659,1.1161,0,0,0,0.974,0.3719,5.8956,0,0,0,0,0,0,0,3.2426,0,0,0.9794,0,0,0,0,1.0965,1.7038,0,0,0,2.2786,0,0,6.3976,0,0.2385,2.1348,0,0.7051,0.8287,0,0.3531,0,0,0,0,1.8248,0.4421,0.5609,0,0,0.4777,0,4.5398,1.8275,0,3.2931,0,0,0,0,0,0,0,0,0.9484,0,1.0912,0.4585,0,0,1.557,1.7849,0,0,0,0,0,0,0,2.6093,1.6522,0,0.9498,0.4369,5.2521,0.6625,0.4552,0,0.8258
KLRD1,100.4683,51.3711,31.3339,13.0522,12.1173,63.0076,4.8361,53.2834,0.5441,7.5377,49.8019,4.4824,31.1091,15.4717,9.7048,12.4666,140.506,20.2486,25.5102,10.4676,20.7715,10.3413,8.5679,5.6576,9.3168,149.0948,30.7263,23.279,20.5128,61.8982,8.6849,45.5581,4.5455,16.8317,2.9561,0,0,14.3737,28.5714,12.207,25.4088,29.8013,4.0404,4.0486,3.3445,12.6904,12.0344,66.5903,14.4479,4.3153,10.3687,24.359,43.4298,87.4396,6.6968,8.1239,9.434,63.263,15.5839,29.0071,43.7859,1.1588,0,8.8815,24.8179,7.0258,15.9902,3.2971,1.1834,19.2004,11.6429,6.856,0,12.3153,41.9753,0.8053,4.386,9.5717,4.6685,13.288,5.8565,3.4178,16.2888,0.9556,83.6614,15.0367,2.1469,49.0994,16.1649,6.2678,22.0998,1.2717,9.887,18.894,5.8081,6.9617,4.9403,5.9307,3.9788,6.1702,9.6479,5.504,55.8873,12.4938,158.8923,4.74,3.0057,15.3677,18.54,16.129,7.0778,17.8224,22.5518,2.4522,0.6341,21.7172,42.2051,11.125,7.6385,5.5021,25.2765,8.6843,9.7314,2.6707,2.394,28.7655,12.0805,20.9571,46.0847,68.3983,46.3384,99.8975,49.9793,6.3127,18.0458,24.4648,61.0795,11.9245,6.8283,1.6155,4.1288
KYNU,215.8365,202.2446,44.7628,27.1084,64.914,539.5028,22.9717,74.5135,9.7933,79.1457,67.9117,16.2488,51.8485,29.8113,20.2184,24.0427,448.0472,243.8638,360.2041,68.0394,44.5104,48.6039,28.1518,461.3486,48.6542,266.2407,48.8827,52.3779,48.2051,100.4127,16.129,68.3371,293.9394,48.5149,28.7162,10.5789,43.6817,16.4271,49.8866,28.3203,27.9496,44.702,30.303,46.5587,8.3612,54.5685,30.7546,296.2121,46.4396,12.946,38.0184,78.2051,97.4236,235.1152,50.2262,27.4181,56.6038,83.2408,38.9599,41.2793,65.4578,34.7632,21.1465,13.3222,44.2406,88.993,24.6002,13.1883,62.7219,6.7766,14.2303,12.7326,5.9172,73.8916,66.6667,11.2744,21.9298,14.3575,16.8067,32.2708,96.6325,10.2535,84.7016,105.1123,151.0827,585.1044,11.9275,164.3763,133.3603,31.3388,104.1848,8.9021,75.9181,95.8525,47.1912,15.9125,10.9785,34.2153,8.3996,367.4099,41.0034,44.0316,155.7201,26.4868,103.053,167.4786,50.3456,106.4764,34.505,92.7419,10.1112,19.3076,32.8472,118.1952,4.4388,60.6061,47.8957,74.5786,42.1935,35.3049,132.7014,32.5662,62.281,16.4696,99.5212,20.7751,50.5593,129.4964,109.7789,133.3333,93.5853,65.2316,57.0012,24.8793,67.4344,85.6269,29.4744,37.4296,88.3123,15.7512,26.0116
MAL,10.6428,59.7015,26.8577,3.012,4.3276,8.8604,2.4181,10.4069,1.6322,5.0251,1.1319,9.5251,4.0577,6.0377,6.0655,6.2333,3.9302,3.5215,6.1224,7.8507,1.4837,13.4436,4.896,5.1432,18.6335,23.4292,1.3966,6.7897,4.1026,6.8776,4.9628,7.9727,4.5455,4.9505,5.0676,5.8772,1.5601,34.9076,56.2358,0.9766,20.327,21.5232,60.6061,20.2429,0,10.1523,14.7087,18.3697,3.096,1.0788,8.0645,6.4103,12.9116,12.3063,7.813,2.031,0,6.6593,4.87,0.3719,8.8456,0,2.4878,7.4012,1.079,4.6838,9.8401,0,4.7337,0,11.6429,0,0.9862,4.1051,3.2922,0.8053,9.8684,0.9572,16.8067,0.9491,1.4641,6.8357,19.5465,0,26.0827,0,2.624,9.0727,8.8907,4.3091,13.0231,1.6956,2.8249,19.8157,2.1781,0.4973,2.1957,3.6496,3.5367,7.2921,4.3415,4.128,3.8214,1.4993,2.2699,8.9533,8.6414,2.7442,1.03,1.0081,3.5389,5.9408,5.3928,9.3183,1.2682,0,2.3711,5.7685,0.7275,1.3755,11.3744,0.4342,2.3355,3.561,5.814,3.1962,6.7114,5.6303,16.1109,5.6277,9.9945,11.5553,71.045,6.684,16.1463,10.0481,2.8409,0.6625,1.3657,3.231,0.8258
MEGF9,437.633,494.7356,274.8433,274.0964,366.1149,430.224,406.2362,418.3578,193.6888,277.6382,298.2456,485.222,276.3751,321.5094,365.1436,303.6509,296.733,458.6752,264.2857,266.924,231.454,294.726,203.1824,410.9448,360.2484,354.6326,324.0223,435.5122,342.5641,372.7648,272.9529,222.0957,336.3636,154.4554,291.8074,132.824,243.3697,123.2033,596.3719,675.293,181.6727,200.3311,119.1919,184.2105,153.8462,280.4569,386.4385,419.0598,219.8142,258.9192,338.7097,180.7692,591.584,632.4794,227.6919,261.9954,196.2264,340.7325,415.8966,400.5206,388.766,279.2641,460.2477,233.8792,331.2652,350.1171,318.5732,203.3196,420.1183,280.0994,240.621,170.4212,223.8659,213.4647,256.7901,308.4357,299.3421,272.7925,204.4818,186.9806,181.552,256.3372,281.2527,450.0717,450.7874,651.0005,686.3073,385.8572,251.768,482.2251,300.3204,529.4616,228.8136,317.5115,373.1736,394.8284,312.337,410.1277,349.6905,365.7271,347.8051,48.1596,535.4669,608.1959,348.6551,524.029,611.2859,249.7256,634.4792,502.5202,597.0655,317.8328,334.3547,336.9299,185.1617,451.0101,735.5068,285.5412,278.6225,351.215,302.0537,451.1507,661.7361,294.6714,308.4815,194.966,656.3758,691.8987,279.1308,570.1299,494.2758,514.0248,606.361,335.3138,581.2656,438.6195,346.5909,514.4087,252.646,449.5153,537.9851
MMRN1,210.3023,447.5298,70.7252,17.0683,57.1243,60.0541,18.1355,146.5293,8.7051,134.4221,71.3073,242.611,30.6583,25.283,19.4096,76.5806,132.6455,39.6169,37.7551,146.5465,19.2878,49.6381,14.6879,272.5917,56.9358,47.9233,25.1397,43.6482,46.1538,57.7717,84.3672,37.5854,10.6061,25.7426,16.0473,2.3509,0,26.694,340.5896,20.9961,12.7044,86.0927,22.2222,22.2672,20.0669,24.1117,28.0803,30.9989,47.4716,99.2524,80.6452,35.8974,59.8627,55.7022,45.7616,5.0774,38.6792,94.3396,13.636,95.9464,128.2618,13.9053,0,8.8815,20.5018,2.3419,20.9102,7.6932,7.1006,5.6472,9.0556,11.7532,18.7377,3.2841,11.5226,3.2213,12.0614,13.4003,59.7572,4.7457,1.4641,20.507,2.1718,49.6894,367.126,26.5353,60.5916,106.7378,207.3146,212.32,50.1192,19.4998,8.8277,43.7788,21.4176,18.8961,3.8425,42.8832,8.8417,52.1666,38.5914,0,66.396,61.969,29.0546,46.8729,84.5355,3.2931,6.18,18.1452,6.0667,4.4556,17.6492,0,1.2682,3.0303,9.4843,27.1944,37.1012,1.834,10.9531,133.3044,15.5703,72.1099,19.1518,10.3875,135.123,53.4876,24.7284,427.2727,114.0287,116.2986,198.2652,80.5793,94.0283,42.3766,20.2415,7.9497,5.0074,39.9838,9.4963
MMRN2,473.3929,1119.9815,256.9382,188.755,284.3233,754.1226,191.0277,454.9901,142.0022,359.2965,390.4924,177.6159,598.2867,226.0377,316.6195,312.5557,199.4596,206.0077,160.2041,400.386,234.4214,330.9204,220.3182,134.2385,280.5383,265.1757,155.0279,147.434,211.2821,156.8088,106.6998,414.5786,103.0303,357.4257,117.8209,409.0508,414.9766,501.0267,312.0181,299.8047,386.2132,1019.8675,369.697,279.3522,319.398,219.5431,248.7113,104.4779,295.1496,212.5295,388.2488,301.2821,443.688,157.715,207.6014,219.345,281.1321,389.5671,169.4754,335.4407,256.5237,294.3281,164.1965,82.8939,307.5263,173.3021,285.3629,204.4186,111.2426,187.4859,177.2316,192.9481,216.9625,185.5501,167.9012,86.974,625,312.9935,333.3333,132.8796,76.1347,247.223,250.847,103.2011,452.2638,488.6926,144.3225,283.3889,743.5846,562.9223,513.8203,197.1174,364.4068,482.4885,378.2557,156.6385,166.3236,282.8467,83.5544,125.0876,238.7844,136.2229,566.9931,357.8211,356.8267,216.9849,462.879,169.045,193.6398,272.1774,150.6567,175.2536,307.8809,87.7881,51.3633,156.5657,225.7261,336.6337,179.686,265.9331,446.5508,208.4238,233.1647,361.4399,244.528,165.801,303.8031,423.5221,339.453,1851.9481,780.9377,408.536,513.8373,495.3583,557.996,439.0564,300.4261,179.1984,103.3345,471.3247,96.2015
MS4A1,48.1056,68.4947,61.7726,16.0643,28.9949,12.7984,1.209,48.2881,2.1763,119.3467,1.1319,157.445,24.3463,16.6038,1.6175,8.0142,18.6686,27.2916,10.2041,31.4028,11.8694,12.4095,7.3439,18.5157,35.1967,8.5197,9.7765,23.279,15.3846,49.5186,35.9801,7.9727,16.6667,25.7426,19.4257,1.1754,0,30.8008,1088.4354,0,15.2453,3.3113,50.5051,14.17,5.0167,22.8426,127.03,126.292,0,1.0788,19.5853,3.8462,61.0364,51.816,52.4584,6.0929,5.6604,28.8568,15.5839,0.3719,160.1061,0,0,35.526,2.1581,62.0609,52.8905,0,15.3846,0,7.762,14.6915,1.9724,89.491,16.4609,4.8319,142.5439,6.7002,0.9337,28.4742,16.1054,47.8496,45.6085,71.1897,991.6339,0.8845,14.7901,28.8192,30.3092,81.089,3.9464,5.9347,3.178,128.5714,8.3492,0.4973,0,8.2117,3.5367,5.6093,21.2253,16.5119,21.4951,15.4923,12.2574,27.3864,8.6414,9.3304,40.6849,1.5121,1.0111,31.6843,12.2564,0.4904,6.3412,0,12.3296,36.6712,9.4572,0.4585,50.9742,2.1711,3.5033,5.3415,16.7579,51.1386,77.8523,17.8292,27.3511,114.7186,24.9864,52.9308,23.544,4.0847,170.0107,32.7654,13.8494,3.9748,122.4536,0,9.0834
MYCT1,191.1452,325.8128,70.7252,33.1325,84.8209,176.2245,45.9434,146.9456,41.3493,91.0804,113.1862,48.7463,195.6718,54.3396,71.573,61.4426,71.7268,46.6599,42.8571,65.4225,35.6083,54.8087,53.8556,63.7762,70.3934,29.819,36.3128,27.1589,35.8974,81.1554,38.4615,61.5034,19.697,49.505,30.4054,19.9824,3.1201,28.7474,91.61,107.9102,15.2453,72.8477,20.202,28.3401,16.7224,58.3756,53.4863,49.3687,37.1517,34.5226,89.8618,69.2308,104.4662,32.385,33.4841,33.511,43.3962,107.6582,14.61,106.7311,120.3008,96.1781,34.8296,13.3222,57.1891,25.7611,29.5203,20.8815,27.2189,32.7536,29.7542,23.5064,37.4753,32.8407,35.3909,24.1595,93.2018,33.5008,44.8179,15.1862,19.0337,37.5961,55.3818,22.4558,144.1929,126.4852,35.0668,82.7218,146.2922,129.6641,112.0775,41.1191,71.6808,102.3041,86.3962,44.7539,40.6203,113.1387,32.2723,70.6773,119.151,71.5514,177.6929,111.944,118.4883,54.7729,79.6513,65.8617,41.7149,80.6452,39.9392,50.0017,81.8728,40.2158,20.2917,44.4444,63.5448,86.9397,62.9265,59.1472,89.7314,58.185,60.3348,70.7746,49.2476,29.964,73.8255,110.7288,56.2008,438.961,175.8132,113.3166,171.0037,160.7872,166.2116,91.7431,69.6023,39.0858,42.7905,138.5299,23.1214
NCR1,1.2771,0.9256,7.162,2.008,0,2.9535,0,0,0,0,1.1319,0,2.2543,0,0,0,0.9826,0.8804,1.0204,0,0,2.0683,3.672,0,1.0352,8.5197,2.7933,1.9399,1.0256,0,0,0,1.5152,0,0.4223,0,0,2.0534,2.2676,0.4883,5.0818,3.3113,2.0202,0,0,0,0,9.1849,0,0,0,2.5641,0,7.4486,0,0,0,2.2198,0,0.3719,0.4423,0,1.2439,0,0,0,0,0,0,0,0,0,0,0.821,1.6461,0,0,0,0,0.9491,1.4641,0,0,0.4778,1.9685,0.4423,0.4771,0.5337,0,0,0.3946,0,0,0.9217,0,0,1.6468,0,0.4421,0,0.4824,0,0.4777,0,0.454,1.0533,0.3757,0,0,0,0,0,0.4903,0.9809,0,0.5051,0.4742,0.8241,1.4549,0,0.4213,0.4342,2.3355,0,0,0.799,1.7897,0.3128,4.8707,0,0.4543,0.3728,0,0.3713,0,0.4369,2.1307,0,0,0.4039,1.2386
PALMD,244.3593,706.6991,80.573,46.1847,98.2365,173.271,51.9886,141.9503,18.4984,61.5578,112.0543,128.3093,234.8963,34.717,44.4804,26.7142,112.0118,106.5253,22.449,48.4127,44.5104,44.4674,28.1518,85.3778,50.7246,43.6635,30.7263,30.0688,53.3333,44.0165,37.2208,29.6128,31.8182,47.5248,26.1824,3.5263,7.8003,28.7474,63.9456,81.0547,8.8931,56.2914,14.1414,38.4615,5.0167,54.5685,30.7546,21.8141,61.9195,56.0992,52.9954,61.5385,131.4631,24.2888,24.555,28.4336,20.7547,114.3174,13.636,66.1956,92.437,35.9219,19.9026,4.4407,20.5018,12.8806,28.2903,16.4854,18.9349,9.0355,19.4049,13.712,21.6963,31.1987,32.0988,7.2478,107.4561,18.1862,43.8842,24.6776,11.713,28.4819,53.21,16.7224,133.3661,200.3419,15.7443,176.1174,142.6551,105.7683,118.7864,33.0649,50.1412,76.9585,59.1705,62.6554,35.68,78.9234,31.8302,69.5555,117.2214,19.2638,190.5899,92.4538,92.1575,60.0395,80.4027,26.8935,54.0749,107.8629,29.3224,55.4475,81.8728,14.2227,11.4141,33.3333,43.1535,41.6157,42.921,52.7281,70.3528,38.6452,41.6504,73.0002,46.5116,53.5358,57.7181,101.345,70.0637,462.3377,248.9551,135.6817,169.7646,119.9406,256.4407,170.3801,48.2955,46.373,24.1266,100.9693,27.6631
PAMR1,240.5279,271.6649,133.393,150.6024,112.0848,215.6042,119.6946,187.3244,46.2459,128.7688,329.3718,52.1081,127.1416,91.3208,107.5617,122.8851,87.4478,97.7216,108.1633,171.4071,43.0267,114.788,161.5667,187.7282,106.6253,75.6124,159.2179,105.7257,76.9231,176.066,95.5335,144.6469,30.303,246.5347,96.7061,413.7526,241.8097,199.1786,44.4444,129.8828,320.1504,289.7351,212.1212,368.4211,158.8629,213.198,129.7043,128.5882,134.1589,80.9123,152.0737,92.3077,150.2436,69.6278,157.3753,107.6415,117.9245,147.6138,77.9197,159.5389,105.2632,133.2588,38.5613,57.7297,84.1651,74.9415,56.5806,70.3376,36.6864,84.7075,58.2147,70.5191,71.9921,52.5452,79.0123,27.3807,214.9123,131.1318,133.5201,20.8811,20.4978,92.2814,71.6706,80.2676,36.9094,63.2426,33.3969,117.9453,136.5933,251.4935,266.3815,36.0322,129.9435,90.7834,116.526,69.1198,25.2504,181.5693,72.0601,54.4103,82.4891,94.9432,351.0867,45.977,192.4867,121.1323,205.1396,32.9308,94.7599,138.1048,15.1668,79.7057,19.12,41.1967,32.974,43.9394,32.2466,158.634,103.665,70.1513,85.94,45.5927,41.6504,77.4514,84.8153,38.354,156.1521,46.2934,125.8898,364.5022,178.539,98.0337,240.3965,310.8058,194.2301,38.0079,81.6761,43.3919,16.8431,26.6559,7.8448
PAX5,2.98,6.942,0,2.008,23.8018,10.8294,1.209,7.493,0.5441,4.397,1.1319,15.6885,1.8034,1.5094,0.4044,0.8905,37.3373,28.172,1.0204,3.9254,0,0,0,0,2.0704,5.3248,11.1732,5.8198,226.6667,4.1265,2.4814,3.4169,40.9091,4.9505,1.6892,18.8069,0,28.7474,160.5442,0,146.1004,8.2781,50.5051,2.0243,15.0502,3.8071,9.3601,3.4443,0,1.0788,4.6083,0,1.1738,27.2034,4.4645,2.031,16.9811,4.4395,0,11.5284,16.3644,0,3.7317,5.921,26.976,131.1475,13.5301,0,7.1006,0,1.2937,34.2801,0,6.5681,2.4691,1.6106,16.4474,0,0,4.7457,190.3367,6.8357,5.4296,9.5557,117.126,31.4002,0.2385,9.0727,4.8495,11.752,0.3946,0.4239,0.3531,17.5115,1.089,5.9672,0.5489,1.8248,0,0,0.4824,19.2638,124.6716,1.999,1.8159,5.2666,1.5029,3.2931,8.755,8.0645,0,1.4852,1.4708,0,6.3412,0.5051,4.2679,2.0602,1.0912,0.917,5.8978,4.3422,1.557,0,2.052,5.5933,29.0828,3.4407,1.8734,33.3333,4.0887,7.455,4.1305,0.7427,15.1965,3.9318,0,0.3312,9.5596,14.1357,0.8258
PBX4,30.2256,45.8174,101.1638,129.5181,19.4742,33.4728,41.1072,24.9766,7.0729,17.5879,84.3237,42.583,40.5771,53.5849,54.9939,37.3998,200.4422,94.2001,113.2653,77.1986,26.7062,74.4571,40.3917,63.7762,78.6749,55.3781,87.9888,53.3478,76.9231,89.4085,86.8486,20.5011,90.9091,98.0198,58.277,106.9644,53.0421,82.1355,44.898,110.3516,222.3267,87.7483,125.2525,115.3846,110.3679,57.1066,243.3627,61.9979,58.8235,35.6014,51.8433,50,49.2987,77.4002,53.5746,61.9447,99.0566,95.4495,76.9457,18.9662,27.4215,76.479,131.8547,171.7088,123.0105,58.548,234.9323,126.3879,28.4024,27.1064,82.7943,132.2233,69.0335,55.0082,20.5761,91.8059,58.114,97.631,112.9785,36.0673,93.7042,95.6992,57.5536,13.8557,18.2087,36.265,61.0687,52.8352,26.2679,57.585,9.0767,31.7931,14.8305,7.8341,33.0339,21.3824,71.9089,63.4124,26.9673,33.0949,39.0738,77.0554,25.3165,27.986,42.6739,14.2199,43.2071,9.3304,15.965,78.125,88.9784,53.9623,9.8051,44.6297,69.7527,41.9192,30.8239,14.4213,62.5627,18.7987,39.5998,21.2766,15.181,13.3537,50.6156,77.507,22.3714,33.7817,43.8366,11.6883,44.0669,33.1749,42.5444,14.1107,18.0458,13.543,49.0057,33.4548,25.4922,22.2132,55.7391
