HUGO_symbols,TCGA-AF-3911-01A-01R-1736-07,TCGA-AG-3583-01A-01R-0821-07,TCGA-AG-3592-01A-02R-1736-07,TCGA-AG-3601-01A-01R-0826-07,TCGA-AG-3731-01A-11R-1736-07,TCGA-AG-4001-01A-02R-1119-07,TCGA-AG-4007-01A-01R-1119-07,TCGA-AH-6549-01A-11R-1830-07,TCGA-AH-6644-01A-21R-1830-07,TCGA-AH-6897-01A-11R-1928-07,TCGA-DY-A1DD-01A-21R-A155-07,TCGA-DY-A1DF-01A-11R-A155-07,TCGA-EI-6510-01A-11R-1736-07,TCGA-EI-7002-01A-11R-1928-07,TCGA-F5-6571-01A-12R-1830-07,TCGA-F5-6811-01A-11R-1830-07,TCGA-F5-6863-01A-11R-1928-07,TCGA-F5-6864-01A-11R-1928-07,TCGA-G5-6233-01A-11R-1736-07
CD22,15.5758,10.158,18.5838,1.0312,112.7784,26.6921,32.5301,6.3821,54.3576,4.6873,3.0051,4.3103,34.1297,12.6253,34.9245,31.9549,4.461,37.8501,36.1733
CD28,22.8667,21.4447,40.0513,6.1875,99.0156,27.6454,53.012,23.933,39.5328,15.2336,1.5025,1.2315,41.3823,31.9346,90.7233,39.9436,3.3457,41.2566,27.6059
CD3D,60.6464,167.0429,90.0352,22.6875,124.6296,44.8046,146.988,38.2928,69.6316,49.2163,19.5328,6.1576,85.7509,33.0486,122.8378,84.1165,21.5613,95.7608,39.981
CD3G,16.2386,25.9594,20.1858,5.1562,52.7573,21.9256,20.4819,14.998,20.6649,8.7886,0,0.6158,15.785,10.7687,57.806,27.7256,2.2305,17.0326,5.7116
CD5,54.0184,134.3115,95.1618,38.1562,263.0221,78.1697,103.6145,110.0917,345.9119,38.0841,18.0303,9.2365,762.7986,124.7679,199.1096,105.2632,111.1524,122.2559,44.7406
CD6,65.6174,100.4515,132.3294,57.75,214.0877,104.8618,232.5301,81.6913,155.885,45.115,49.0825,30.1724,131.8259,114.3706,205.5325,119.3609,67.2862,141.9379,115.6592
CD79A,49.7101,213.3183,120.7946,17.5312,391.4747,38.1316,686.747,24.8903,78.1671,62.1063,20.5345,9.8522,501.2799,35.2766,166.1923,148.4962,15.9851,126.7979,73.2984
CD8A,78.8734,50.7901,75.9372,42.2812,318.8378,58.1506,216.8675,23.933,135.2201,24.0223,42.0707,1.8473,83.6177,37.5046,203.1239,57.8008,11.8959,97.6533,45.6925
CD8B,94.7807,95.7223,14.098,51.5625,87.9289,160.9914,220.4819,74.6709,94.3396,168.7418,125.7114,0,123.2935,159.3019,38.9388,242.4812,68.0297,113.5503,7.6154
CDH5,414.5826,534.9887,611.6629,770.3433,1612.5394,799.8093,568.6747,877.2238,737.1968,296.4699,338.0684,530.7882,410.8362,377.2744,513.8313,407.8947,521.5613,968.2059,1024.7501
CEACAM3,2.9826,123.0248,5.1266,66,12.6159,81.9828,626.506,4.1484,4.4924,0.5859,1.0017,0,2.9863,2.9707,4.4157,2.8195,0,3.028,7.1395
CLEC10A,40.7623,84.6501,18.5838,22.6875,135.334,45.7579,69.8795,53.929,20.6649,9.9605,3.5059,3.6946,25.5973,41.5893,164.5866,22.0865,7.0632,54.8827,2.3798
